PID,group,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,score,is_multiple
188/7759,2,0.3099999999999996,0.07053769646783216,0.915473895747037,0.4614031325312443,0.4393536811865283,False
29/4867,2,0.30399999999999844,0.07683453760546513,0.91121361799404,0.4567648593581687,0.43720325373941804,False
75/1281,2,0.352,0.08507734884876636,0.8922375889359659,0.4156700100186645,0.4362462369508492,False
75/3158,2,0.3119999999999987,0.1291368757710201,0.9186008230452676,0.38195880654137326,0.4354241263394149,False
33/4822,2,0.319999999999999,0.09413018905410732,0.9197362999587968,0.402414766626446,0.43407031390983725,False
35/837,2,0.3079999999999986,0.05004454393785412,0.9131146199787287,0.4595996934404676,0.43268971433926223,False
59/871,2,0.3119999999999987,0.08895118458277068,0.9084323620380921,0.4203400982010713,0.43243091120548316,False
181/2846,2,0.2859999999999988,0.046332830242006934,0.9178831366421316,0.46545511087626923,0.4289177694401017,False
47/722,2,0.2779999999999985,0.06316710625629701,0.9219776134814753,0.4454514664032586,0.4271490465352573,False
92/2954,2,0.30399999999999844,0.06729511769285994,0.9127412495911023,0.4232890185752522,0.4268313464648032,False
93/6765-1,2,0.3439999999999997,0.04374851795992382,0.8953511692270666,0.4228835885837319,0.42649581894268046,False
150/4295,2,0.2979999999999992,0.053947721953781426,0.9074721522074964,0.4400125389969647,0.4248581032895604,False
93/4010,2,0.30599999999999944,0.07582226343477369,0.9065507858506273,0.4089539337873593,0.42433174576818994,False
09/5042,2,0.2859999999999988,0.07398533430814959,0.9174681463214139,0.417173452373628,0.42365673325079756,False
36/4847,2,0.33599999999999947,0.13323203431512967,0.9266470173108058,0.2934093884954317,0.42232211003034165,False
12/5444-1,2,0.3139999999999997,0.03436045868670619,0.8818742098609355,0.4577884429185638,0.42200577786655125,False
71/4292,2,0.3019999999999993,0.07113522118458047,0.8974750723705371,0.4107292089125729,0.42033487561692245,False
37/1304,2,0.25999999999999895,0.06585562779793883,0.9068454194596791,0.4458256090379171,0.4196316640738835,False
77/1318,2,0.25399999999999967,0.06618032340641851,0.9002984593046706,0.45456130644987464,0.41876002229024084,False
181/2821,2,0.2759999999999994,0.04939374884541505,0.9147985738289415,0.430837955345893,0.4177575695050622,False
97/6505,2,0.3119999999999987,0.0819001840067911,0.8984142316670692,0.37425768835804646,0.41664302600797637,False
19/1924,2,0.2739999999999984,0.043686670635742574,0.9000080638658173,0.44785102567577917,0.41638644004433434,False
83/514,2,0.4039999999999998,0.11098757752365918,0.8775060932463244,0.270461510294135,0.41573879526602964,False
87/1254,2,0.2939999999999991,0.07662854923377262,0.9079520032540166,0.38393982323188414,0.4156300939299181,False
98/4156,2,0.3019999999999993,0.055798559863931584,0.9066244263027498,0.39679585734716954,0.41530471087846255,False
95/6985,2,0.2799999999999995,0.05739712596697916,0.8991380004833643,0.422931808394381,0.414866733711181,False
85/5901,2,0.266,0.04079943367741691,0.9075459424296635,0.44357782757803166,0.41448080092127804,False
40/4747,2,0.3399999999999996,0.14237225850744914,0.9006980591534519,0.27167494494769523,0.413686315652149,False
49/67,2,0.2439999999999984,0.09889376035398421,0.911846405228758,0.38329570076381597,0.40950896658663916,False
25/5545,2,0.2960000000000001,0.05576970607882857,0.8906355982923033,0.3925926469306504,0.4087494878254456,False
175/3324,2,0.2719999999999993,0.06462504329901725,0.898450392433085,0.3927426458375546,0.4069545203924141,False
55/957,2,0.266,0.032396881067395966,0.8974029106697756,0.4292845363433045,0.406271082020119,False
